trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
267,True,"{'a': 0.75, 'e': 0.013090759526015528}",20,2,29.4964140104315,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,True,"{'a': 0.75, 'e': 0.01302530572838545}",25,11,27.367158989169475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,True,"{'a': 0.75, 'e': 0.012960179199743523}",30,22,1.5823912348877984,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,True,"{'a': 0.75, 'e': 0.012895378303744804}",20,10,17.26386011059449,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,True,"{'a': 0.75, 'e': 0.01283090141222608}",20,12,3.8894008785946466,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,True,"{'a': 0.75, 'e': 0.012766746905164949}",30,16,25.087471597858503,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,True,"{'a': 0.75, 'e': 0.012702913170639124}",30,18,24.87327894060148,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,True,"{'a': 0.75, 'e': 0.012639398604785928}",25,12,23.358903748330082,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,True,"{'a': 0.75, 'e': 0.012576201611761997}",30,10,32.149542161001726,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,True,"{'a': 0.75, 'e': 0.012513320603703188}",20,13,15.669749449717635,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,True,"{'a': 0.75, 'e': 0.012450754000684672}",20,14,12.54601943436672,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,True,"{'a': 0.75, 'e': 0.012388500230681249}",25,11,25.2986076111445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,True,"{'a': 0.75, 'e': 0.012326557729527843}",20,10,-24.218991979150704,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
280,True,"{'a': 0.75, 'e': 0.012264924940880204}",20,10,22.19436562518554,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,True,"{'a': 0.75, 'e': 0.012203600316175803}",25,17,16.706453242961295,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,True,"{'a': 0.75, 'e': 0.012142582314594924}",25,0,20.326768394983496,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
283,True,"{'a': 0.75, 'e': 0.01208186940302195}",30,11,35.270902868582155,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,True,"{'a': 0.75, 'e': 0.01202146005600684}",30,20,21.79819687906013,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,True,"{'a': 0.75, 'e': 0.011961352755726806}",25,11,20.49582957310802,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,True,"{'a': 0.75, 'e': 0.01190154599194817}",20,8,26.00268918813464,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,True,"{'a': 0.75, 'e': 0.01184203826198843}",25,0,38.647153068274356,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
288,True,"{'a': 0.75, 'e': 0.011782828070678488}",20,12,17.159879156399214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
289,True,"{'a': 0.75, 'e': 0.011723913930325095}",20,10,17.124626072673763,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
290,True,"{'a': 0.75, 'e': 0.01166529436067347}",25,16,3.680107706327062,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
291,True,"{'a': 0.75, 'e': 0.011606967888870102}",35,23,21.68034520019969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
292,True,"{'a': 0.75, 'e': 0.01154893304942575}",20,10,18.841839936852875,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
293,True,"{'a': 0.75, 'e': 0.011491188384178622}",20,10,19.010113687942752,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
294,True,"{'a': 0.75, 'e': 0.011433732442257729}",25,12,22.986718905985803,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
295,True,"{'a': 0.75, 'e': 0.01137656378004644}",30,11,31.96363143232586,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
296,True,"{'a': 0.75, 'e': 0.011319680961146208}",20,12,15.483567512636885,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
297,True,"{'a': 0.75, 'e': 0.011263082556340478}",30,13,29.863451187381063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,True,"{'a': 0.75, 'e': 0.011206767143558775}",25,3,32.13799535605116,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
